weight,latitude,longitude
40,57.7029613,11.9041512
37,57.7032653,11.9034128
36,57.7030885,11.9037591
35,57.7032653,11.9034128
35,57.7029281,11.9044512
34,57.7029281,11.9044512
34,57.7030885,11.9037591
23,57.7032468,11.9032771
21,57.7029302,11.9042408
20,57.7028992,11.9043307
17,57.7028992,11.9043307
16,57.7030832,11.9039754
21,57.7094796,11.9094457
19,57.7096397,11.9085171
18,57.7092146,11.9092133
18,57.709214,11.9086565
31,57.7095056,11.9092378
31,57.7092486,11.908279
30,57.7094683,11.9097619
30,57.709125,11.9082252
30,57.7096397,11.9085171
29,57.7094796,11.9094457
29,57.709214,11.9086565
29,57.709214,11.9086565
29,57.709125,11.9082252
29,57.709214,11.9086565
28,57.7092486,11.908279
35,57.709125,11.9082252
34,57.7099821,11.9089051
34,57.7096397,11.9085171
34,57.7096397,11.9085171
34,57.7092247,11.9089178
34,57.7089929,11.9081684
34,57.709214,11.9086565
34,57.7092146,11.9092133
33,57.7094796,11.9094457
33,57.709214,11.9086565
33,57.7094796,11.9094457
32,57.7092146,11.9092133
32,57.7092486,11.908279
32,57.7092486,11.908279
32,57.709214,11.9086565
32,57.709214,11.9086565
41,57.7096397,11.9085171
41,57.7089929,11.9081684
52,57.7096397,11.9085171
52,57.7096397,11.9085171
52,57.709214,11.9086565
51,57.7094683,11.9097619
51,57.7096397,11.9085171
50,57.7096397,11.9085171
49,57.7092146,11.9092133
68,57.7092247,11.9089178
68,57.7094796,11.9094457
67,57.709214,11.9086565
66,57.709125,11.9082252
66,57.7094796,11.9094457
65,57.7096397,11.9085171
28,57.6980316,11.9770591
28,57.6979845,11.9765421
27,57.6980316,11.9770591
27,57.6979845,11.9765421
27,57.6980316,11.9770591
27,57.6978595,11.9769782
27,57.6976206,11.9768813
26,57.6980316,11.9770591
26,57.6978595,11.9769782
25,57.6978595,11.9769782
25,57.6976206,11.9768813
25,57.6980316,11.9770591
25,57.6976206,11.9768813
25,57.6978595,11.9769782
24,57.6978595,11.9769782
24,57.6980316,11.9770591
24,57.6978245,11.9764055
43,57.6968944,11.9774912
42,57.6978595,11.9769782
42,57.6978595,11.9769782
40,57.6980316,11.9770591
40,57.6968944,11.9774912
39,57.6980316,11.9770591
38,57.6976206,11.9768813
38,57.6979845,11.9765421
38,57.6978595,11.9769782
36,57.6968944,11.9774912
36,57.6968944,11.9774912
35,57.6978595,11.9769782
35,57.6979845,11.9765421
34,57.6978595,11.9769782
34,57.6978595,11.9769782
33,57.6981363,11.9765152
33,57.6968944,11.9774912
51,57.6981363,11.9765152
50,57.6975536,11.9764172
49,57.6980316,11.9770591
49,57.6980316,11.9770591
48,57.6968944,11.9774912
48,57.6976206,11.9768813
48,57.6978595,11.9769782
60,57.6976206,11.9768813
59,57.6981363,11.9765152
58,57.6980316,11.9770591
58,57.6976206,11.9768813
58,57.6978595,11.9769782
58,57.6980316,11.9770591
57,57.6979845,11.9765421
57,57.6978245,11.9764055
